metodo,sensor,col,fila,idoneidad
aleatorio,1,3,5,0.5619195509674716
aleatorio,2,150,112,0.9941256523368733
aleatorio,3,130,58,0.6066553995336639
aleatorio,4,11,53,0.9031672664595193
aleatorio,5,199,53,0.9557390303195831
aleatorio,6,48,181,0.47654639456175096
aleatorio,7,56,174,0.9662866504290615
aleatorio,8,40,47,0.4067243291730813
aleatorio,9,73,90,0.6665846413815602
aleatorio,10,38,163,0.9441568270571689
aleatorio,11,76,32,0.9866314851583285
aleatorio,12,178,138,0.4936901904580342
aleatorio,13,99,96,0.6017906732633318
aleatorio,14,203,204,0.9623870612268649
aleatorio,15,98,162,0.9950634170242392
aleatorio,16,60,51,0.6433430383118938
aleatorio,17,173,183,0.9237822341210546
aleatorio,18,180,175,0.9441708267789415
aleatorio,19,189,46,0.7450279669982574
aleatorio,20,195,113,0.7310451335332792
malla,1,0,0,0.5166543370562597
malla,2,54,0,0.8090039329222898
malla,3,109,0,0.5205521922136482
malla,4,164,0,0.48255894978717007
malla,5,219,0,0.602338026588613
malla,6,0,54,0.8646599326025355
malla,7,54,54,0.9235406419503163
malla,8,109,54,0.45245571832548126
malla,9,164,54,0.8355545837950813
malla,10,219,54,0.7078194167013022
malla,11,0,109,0.31565965442308597
malla,12,54,109,0.9535271080716579
malla,13,109,109,0.4491191655729423
malla,14,164,109,0.9790911956299349
malla,15,219,109,0.9540435808572797
malla,16,0,164,0.6154551510399491
malla,17,54,164,0.9601463516050159
malla,18,109,164,0.9348221439033296
malla,19,164,164,0.8199244636094934
malla,20,219,164,0.6637098611212235
